Category,Question,Answer
T-CLOCS,What should you check for Lights & Electrics (L)?,"Headlight (high and low beams), taillight, both turn signals, both brakes activate the brake light."
T-CLOCS,What should you check for Oil & Other Fluids (O)?,"Engine oil and transmission fluid levels, brake hydraulic fluid, coolant level weekly, and make sure the fuel valve is open."
T-CLOCS,What should you check for Chassis (C)?,"Front suspension (no binding), rear shocks move smoothly, chain adjusted per specs, sprockets not worn or damaged."
T-CLOCS,What should you check for Stands (S)?,Side stand operates smoothly with spring holding it tightly up; center stand (if equipped) held firmly against the frame when moving.
Basic Control,What is the correct riding posture?,"Sit far enough forward so arms are slightly bent at handgrips. Keep wrists flat, knees against the tank, feet firmly on footrests with toes not pointing downward."
Basic Control,Why should you keep your knees against the gas tank?,It helps you keep your balance as the motorcycle turns.
Basic Control,What is the typical motorcycle gear pattern?,1-N-2-3-4-5. Neutral is a 'half lift' from 1st gear or 'half press' from 2nd.
Basic Control,What is the 3-step process for upshifting?,"1) Roll off the throttle as you squeeze the clutch lever, 2) Lift the shift lever firmly, 3) Smoothly ease out the clutch and adjust the throttle."
Basic Control,What is the 3-step process for downshifting?,"1) Roll off the throttle as you squeeze the clutch lever, 2) Press the shift lever down firmly, 3) Ease out the clutch as you roll on the throttle."
Basic Control,Why is engine braking useful?,"Shifting to a lower gear causes an effect similar to using the brakes, helping you slow down. It also helps on downhills and before turns."
Braking,How much of total stopping power does the front brake provide?,About 70% of total stopping power.
Braking,What is the correct braking technique for a straight-line stop?,Use BOTH brakes every time. Squeeze the front brake and apply light-to-lighter pressure on the rear brake pedal.
Braking,What happens if the front wheel locks?,"Immediate loss of steering control and balance. Release the front brake immediately and completely, then reapply smoothly."
Braking,What happens if the rear wheel locks?,"The back of the motorcycle may jerk or sway side to side. Keep the rear brake locked and steer straight until stopped if the wheels are aligned. If out of alignment, releasing can cause a high-side crash."
Braking,How does braking in a curve differ from straight-line braking?,"Less traction is available because some is used for cornering. If possible, straighten the motorcycle first, then brake. If you must brake in a curve, do so smoothly and gradually."
Braking,What is ABS designed to do?,Prevent wheel lock-up and avoid skids during straight-line panic stops. It releases and reapplies brake pressure more than 15 times per second.
Braking,What is the best way to stop quickly?,Apply both brakes at the same time. Squeeze the front brake firmly and progressively; press down on the rear brake.
Turning,What are the four steps for better turning control?,SLOW - reduce speed before the turn. LOOK - look through the turn to where you want to go. PRESS - press the handgrip in the direction of the turn (countersteering). ROLL - roll on the throttle to stabilize the motorcycle.
Turning,How does countersteering work?,"Press left handgrip = lean left = go left. Press right handgrip = lean right = go right. The higher the speed, the greater the lean angle needed."
Turning,"In normal turns, how should the rider and motorcycle lean?",Both the rider and motorcycle should lean together at the same angle.
Turning,"How do slow, tight turns differ from normal turns?","In slow, tight turns you counterbalance by leaning the motorcycle only and keeping your body straight (or leaning opposite)."
Lane Position,"What are the three lane positions, and which is generally best?","Position 1 (left third), Position 2 (center), Position 3 (right third). The left third is the most common default. Position 2 (center) is best if hazards are on both sides."
Lane Position,Why should you avoid the center of the lane?,"The center third is where oil, debris, and grease from cars collect, and where hazards like manhole covers are found. It can be very slippery when wet."
Lane Position,What should your lane position help you do?,"Increase your ability to see and be seen, avoid others' blind spots, avoid surface hazards, protect your lane from other drivers, set up for turns, and communicate your intentions."
Following Distance,What is the minimum following distance for motorcycles?,A minimum of two seconds behind the vehicle ahead.
Following Distance,How do you gauge following distance?,"Pick out a marker (lamppost, pavement marking). When the vehicle ahead passes it, count 'one-thousand-one, one-thousand-two.' If you reach the marker before 'two,' you are following too closely."
Following Distance,When should you increase your following distance beyond 2 seconds?,"When pavement is slippery, you cannot see through the vehicle ahead, traffic is heavy, or someone may squeeze in front of you. Use a 3-second or greater cushion."
Tailgaters,What is the best way to handle a tailgater?,"Change lanes and let them pass. If that's not possible, slow down and open up extra space ahead of you so both you and the tailgater have room to stop."
Tailgaters,When should you flash your brake light?,"When you slow more quickly than others might expect (e.g., mid-block, alley) or when a tailgater is following too closely."
Passing,What are the four steps for passing another vehicle?,"1) Ride in the left portion of the lane, signal, and check for traffic. 2) When safe, move into the left lane and accelerate. 3) Ride through the blind spot quickly. 4) Signal again, check mirrors, return to your lane, cancel the signal."
Passing,What should you do when being passed?,Stay in the center of your lane. Do not move to the far side of the lane; that invites the other driver to cut back in too early.
Lane Sharing,Is lane sharing legal in Montana?,Lane sharing is usually prohibited. Cars and motorcycles need a full lane to operate safely.
Lane Sharing,When should you ride center-lane position to discourage lane sharing?,"In heavy bumper-to-bumper traffic, when other drivers want to pass you, when you are preparing to turn at an intersection, or moving into an exit lane."
Intersections,Where do most motorcycle/car crashes occur?,At intersections. Over half of motorcycle/car crashes are caused by drivers entering a rider's right-of-way.
Intersections,Should you rely on 'eye contact' with a driver at an intersection?,"No. A driver may look right at you and still fail to 'see' you. If a car can enter your path, assume it will."
Intersections,What should you do at a blind intersection?,Move to the lane portion that brings you into another driver's field of vision at the earliest possible moment.
Intersections,What should you do at a stop sign?,"Stop first at the stop line, then edge forward and stop again just short of where the cross-traffic lane meets your lane. Lean forward and look around buildings, parked cars, or bushes. Keep your front wheel out of the cross lane of travel."
Visibility,What colors are most visible to other drivers?,"Bright orange, red, yellow, or green jackets/vests. Reflective, bright-colored helmet and clothing are best."
Visibility,Why should your headlight always be on?,A motorcycle with its headlight on during the day is twice as likely to be noticed. Use low beam during the day and in fog.
Visibility,What should you do with your signal when entering a freeway?,Keep it blinking; drivers approaching from behind are more likely to see it and make room for you.
SEE Strategy,What does SEE stand for?,"Search, Evaluate, Execute - a three-step strategy to reduce risk."
SEE Strategy,What are the three 'lead times' experienced riders use when Searching?,2 seconds - be alert and scan for immediate hazards. 4 seconds - quick response zone for things going wrong. 12 seconds - look far ahead for developing hazards to prepare early.
SEE Strategy,What does 'Evaluate' mean in the SEE strategy?,"Think about how hazards can interact to create risks. Anticipate potential problems and have a plan, especially for road/surface hazards, traffic control devices, and other vehicles."
SEE Strategy,What does 'Execute' mean in the SEE strategy?,"Create more space and minimize harm by: communicating (lights, horn), adjusting speed (accelerate, stop, slow), adjusting position (swerve, change lanes, move within lane)."
SEE Strategy,"To reduce your reaction time, you should:",Cover the clutch and the brakes so you can react faster when a hazard appears.
Crash Avoidance,What two skills are critical for crash avoidance?,"Knowing when to stop or swerve, and being able to do both quickly and properly."
Crash Avoidance,What do studies show about most crash-involved riders?,They under-braked the front tire and over-braked the rear. They also did not separate braking from swerving when appropriate.
Crash Avoidance,How should you swerve to avoid an obstacle?,"Press the handgrip in the direction of the turn (countersteering). Do NOT brake while swerving - either brake then swerve, or swerve then brake."
Crash Avoidance,What is the correct technique for stopping quickly in a curve?,"If possible, straighten the motorcycle first, then brake. If you can't straighten, apply brakes smoothly and gradually, reducing lean angle as you slow."
Cornering,What is a primary cause of single-vehicle motorcycle crashes?,Riders running wide in a curve or turn and hitting a fixed object or going off the road.
Cornering,How should you handle decreasing-radius (tighter) curves?,"Start at the outside of the curve to increase your line of sight, move toward the inside as you turn, then move to the outside to exit."
Dangerous Surfaces,Name five surfaces that provide poor traction for motorcycles.,"1) Wet pavement, 2) Gravel roads, 3) Mud/leaves/snow/ice, 4) Painted lane markings (wet), 5) Steel plates and manhole covers."
Dangerous Surfaces,How should you ride on a slippery surface?,"Reduce speed, avoid sudden moves, use both brakes gently, squeeze (don't grab) the front brake to avoid locking."
Dangerous Surfaces,"When it starts to rain, which part of the lane is safest?",The tire tracks left by cars. The center of the lane is most hazardous when wet because that's where oil and fluids collect.
Dangerous Surfaces,How should you cross railroad tracks?,"Ride straight across (head-on at a 90-degree angle) whenever possible. If tracks are parallel, cross at a minimum 45-degree angle. Edging across can catch your tires and throw you off balance."
Dangerous Surfaces,How do you ride over an obstacle you cannot avoid?,"Slow down as much as possible, make sure the motorcycle is straight, rise slightly off the seat on the footrests, roll on the throttle slightly just before contact to lighten the front end."
Night Riding,What three things should you do when riding at night?,"1) Reduce your speed below daytime levels, 2) Increase your following distance to at least 3 seconds, 3) Use the car ahead's headlights to preview the road and use your high beam when not following or meeting traffic."
Night Riding,Why are distances harder to judge at night?,"Your eyes rely on shadows and light contrasts that may be missing or distorted under artificial lights, making objects seem farther or closer than they really are."
Mechanical Problems,What should you do if you get a flat tire while riding?,"Hold handgrips firmly, ease off the throttle, and keep a straight course. If braking is required, gradually apply the brake of the tire that is NOT flat. Edge to the side of the road and stop."
Mechanical Problems,What should you do if the throttle is stuck?,"Twist it back and forth to free it. If that doesn't work, immediately operate the engine cut-off switch and pull in the clutch at the same time."
Mechanical Problems,How should you handle a 'wobble' (tank-slapper)?,Grip the handlebars firmly but don't fight the wobble. Close the throttle gradually (don't brake). Move your weight as far forward and down as possible. Pull off the road as soon as you can.
Mechanical Problems,What causes a wobble?,"Improper loading, unsuitable accessories, incorrect tire pressure, worn steering parts, misaligned or out-of-balance front wheel, loose wheel bearings or spokes, or worn swingarm bearings."
Mechanical Problems,What should you do if the chain or belt breaks?,You will notice an instant loss of power. Close the throttle and brake to a stop in a safe area. Loss of oil in the rear differential can cause the rear wheel to lock.
Mechanical Problems,What should you do if the engine seizes ('locks up')?,"Squeeze the clutch to disengage the engine from the rear wheel. Pull off the road and stop. Check the oil; add oil if needed, otherwise let the engine cool before restarting."
Animals,What should you do if an animal enters your lane?,"Hitting something small is less dangerous than hitting something big (like a car). Stay in your lane. For larger animals (deer, elk, cattle), brake and prepare to stop - they are unpredictable."
Animals,What should you do if a dog chases you?,"Approach the animal slowly, then accelerate away and leave it behind. Do NOT kick at it."
Flying Objects,"How should you handle being hit by a flying object (insects, debris)?","Keep your eyes on the road and your hands on the handlebars. When safe, pull off the road and repair any damage. Face protection is essential to prevent objects from hitting your eyes or face."
Getting Off Road,What three things should you do when leaving the road?,1) Check the roadside - make sure it's firm enough to ride on. 2) Signal your intentions to drivers behind you. 3) Pull off as far as you can. It's hard for others to spot a motorcycle by the side of the road.
Passengers,What equipment must your motorcycle have to carry a passenger?,"Passenger footrests/pegs, a proper seat large enough for two without crowding, and a strap or solid handholds for the passenger."
Passengers,What instructions should you give a passenger before riding?,"Mount only after the engine is started and transmission is in neutral; sit as far forward as possible; hold your waist, hips, belt, or passenger handholds firmly; keep both feet on the footrests; lean with you; avoid unnecessary conversation and sudden moves; keep legs away from muffler(s), chains, and moving parts."
Passengers,How does carrying a passenger affect riding?,"The motorcycle responds more slowly - it takes longer to speed up, slow down, or turn. Ride a little slower in curves, start slowing earlier, and maintain a larger space cushion."
Passengers,Where should a child passenger be placed?,Children should be placed immediately behind the rider. A child sitting in front will not be able to properly balance and may interfere with the rider's control.
Cargo,How should you load cargo on a motorcycle?,"Keep the load forward and low. Pack heavier items in the front of the tank bag. If using saddlebags, load each with about the same weight. Fasten the load securely with elastic cords (one attachment point per side recommended). Do not exceed gross vehicle weight rating."
Cargo,What can happen if cargo is improperly loaded?,"An uneven load can cause the motorcycle to pull to one side. Overloading can cause bags to catch in the wheel or chain, locking the rear wheel and causing a skid."
Group Riding,What formation should a group of motorcyclists use?,"A staggered formation. The leader rides in the left third of the lane; the second rider stays at least one second behind in the right third; the third rider is at least two seconds behind the leader in the left third, and so on."
Group Riding,When should a group switch from staggered to single-file formation?,"When riding in curves, turning, entering or leaving freeways/highways, and in any situation where the full lane width is needed."
Group Riding,What are the most important rules for group riding?,"No competition, no passing of other riders, and no tailgating. Place inexperienced riders just behind the leader."
Group Riding,Where should inexperienced riders position themselves in a group?,"Just behind the leader so they can keep pace without riding faster than they are comfortable with, and more experienced riders can watch them from behind."
Group Riding,What should happen if a rider falls behind during a group ride?,Everyone should slow down to keep the group together. The lead rider sets the pace based on the least experienced rider.
Alcohol & Drugs,What BAC level is considered legally intoxicated in Montana?,"0.08% for adults (21+). For operators under 21, lower limits (0.00-0.02%) apply depending on the state."
Alcohol & Drugs,How quickly can alcohol be eliminated from the body?,About one drink per hour. Alcohol may still accumulate even if you drink at a rate of one drink per hour.
Alcohol & Drugs,What percentage of fatal motorcycle crashes involve alcohol?,Nearly 40% of all riders killed in motorcycle crashes had been drinking.
Alcohol & Drugs,What are the consequences of a DUI conviction in Montana?,"License suspension, severe fines, community service (litter pickup, washing cars at emergency wards), additional lawyer fees, lost work time, and the psychological costs of being tagged a 'drunk driver.'"
Alcohol & Drugs,"If you wait one hour per drink before riding, are you safe?","Not necessarily. Side effects from the drinking may still remain and affect your riding skills. It depends on many factors including body weight, food intake, and physical condition."
Fatigue,How does fatigue affect motorcycle riding?,"Fatigue can affect your control of the motorcycle. Motorcycling is more tiring than driving a car, and you tire sooner."
Fatigue,What are four tips to combat fatigue on long rides?,"1) Protect yourself from wind, cold, and rain. 2) Limit your distance (experienced riders suggest ~6 hours/day). 3) Take frequent rest breaks every two hours. 4) Don't drink or use drugs."
Horn,When should you use your horn?,"When a driver in the next lane is close and may want to pass; when a parked car has someone in the driver's seat; when someone is in the street riding a bicycle or walking. In an emergency, sound it loud and long."
Horn,Should you rely on your horn to keep you safe?,"No. A motorcycle's horn isn't as loud as a car's. Use it, but also have time and space to maneuver as backup strategies."
Mirrors,When should you check your mirrors?,"When stopped at an intersection (watch for cars coming up behind), before you change lanes, before you slow down, and as part of your normal scanning routine."
Mirrors,Why are head checks necessary in addition to mirrors?,"Motorcycles have blind spots just like cars. Before changing lanes, turn your head and look to the side for other vehicles."
Mirrors,Are convex mirrors (rounded) common on motorcycles? What's the caution?,"Yes, most motorcycles have convex mirrors. They provide a wider view but make cars seem farther away than they actually are."
Parking,How should you park a motorcycle at a curb (parallel parking)?,Position the motorcycle at an angle with the rear wheel to the curb. Some cities require motorcycles to park parallel to the curb.
Parked Cars,How should you ride when passing parked cars?,"Stay toward the left of your lane to avoid problems from doors opening, drivers getting out, or people stepping between cars. If oncoming traffic is present, stay in the center-lane position."
Hand Signals,What is the hand signal for 'Single File'?,"Arm raised, index finger extended straight up."
Hand Signals,What is the hand signal for 'Stop'?,"Arm extended straight down, palm facing back."
Hand Signals,What is the hand signal for 'Speed Up'?,"Arm extended straight out, palm facing up, swing upward."
Hand Signals,What is the hand signal for 'Slow Down'?,"Arm extended straight out, palm facing down, swing down to your side."
Hand Signals,What is the hand signal for 'Follow Me'?,"Arm extended straight up from shoulder, palm forward."
Hand Signals,What is the hand signal for 'Hazard in Roadway'?,On the left - point with left hand. On the right - point with right foot.
Hand Signals,What is the hand signal for 'Fuel'?,Arm out to side pointing to tank with finger extended.
Hand Signals,What is the hand signal for 'Comfort Stop'?,"Forearm extended, fist clenched, with short up and down motion."
Hand Signals,What is the hand signal for 'Refreshment Stop'?,"Fingers closed, thumb to mouth."
Practice Test,TEST Q1: A plastic shatter-resistant face shield: (A) is not necessary if you have a windshield (B) only protects your eyes (C) helps protect your whole face (D) does not protect your face as well as goggles,C - Helps protect your whole face.
Practice Test,TEST Q2: More than half of all crashes: (A) occur at speeds > 35 mph (B) happen at night (C) are caused by worn tires (D) involve riders with < 5 months experience on their motorcycles,D - Involve riders who have less than five months of experience on their motorcycles.
Practice Test,"TEST Q3: When riding, you should: (A) turn your head and shoulders to look through turns (B) keep your arms straight (C) keep your knees away from the gas tank (D) turn just your head and eyes to look where you are going",D - Turn just your head and eyes to look where you are going.
Practice Test,"TEST Q4: Usually, a good way to handle tailgaters is to:",A - Change lanes and let them pass.
Practice Test,"TEST Q5: To reduce your reaction time, you should:",B - Cover the clutch and the brakes.
Practice Test,TEST Q6: Making eye contact with other drivers:,C - Doesn't mean that the driver will yield.
Practice Test,TEST Q7: Reflective clothing should be worn:,D - Be worn day and night.
Practice Test,TEST Q8: The best way to stop quickly is to:,D - Use both brakes at the same time.
Practice Test,TEST Q9: When it starts to rain it is usually best to:,C - Ride in the tire tracks left by cars.
Practice Test,TEST Q10: If your motorcycle starts to wobble:,C - Grip the handlebars firmly and close the throttle gradually.
Practice Test,TEST Q11: If you are chased by a dog:,"D - Approach the animal slowly, then speed up."
Practice Test,TEST Q12: Passengers should:,A - Lean as you lean.
Practice Test,"TEST Q13: When riding in a group, inexperienced riders should position themselves:",A - Just behind the leader.
Practice Test,TEST Q14: If you wait one hour per drink for alcohol to be eliminated before riding:,C - Side effects from the drinking may still remain.
Knowledge Test,SAMPLE Q1: It is MOST important to flash your brake light when:,B - Someone is following too closely.
Knowledge Test,SAMPLE Q2: The FRONT brake supplies how much of the potential stopping power?,C - About 70%.
Knowledge Test,SAMPLE Q3: To swerve correctly:,C - Press the handgrip in the direction of the turn.
Knowledge Test,"SAMPLE Q4: If a tire goes flat while riding and you must stop, it is usually best to:",C - Brake on the good tire and steer to the side of the road.
Knowledge Test,SAMPLE Q5: The car below is waiting to enter the intersection. It is best to:,B - Reduce speed and be ready to react.
Skill Test,What abilities are tested in the on-motorcycle skill test?,"Know your motorcycle and riding limits; accelerate, brake, and turn safely; see, be seen, and communicate; adjust speed and position to traffic; stop, turn, and swerve quickly; make critical decisions and carry them out."
Skill Test,What factors do examiners score during the skill test?,"Selecting safe speeds, choosing correct path and staying within boundaries, completing normal and quick stops, completing normal and quick turns or swerves."
